regional_distrito,año_lectivo,abandono_inicial,promovido_inicial,reprobado_inicial,abandono_primario,promovido_primario,reprobado_primario,abandono_secundario,promovido_secundario,reprobado_secundario,tipo,regional,distrito
1804 - JIMANI,2021-2022,2.6,97.4,0.0,6.4,84.6,9.1,7.3,85.9,6.8,distrito,18 - BAHORUCO,1804 - JIMANI
1805 - DUVERGE,2021-2022,3.1,96.9,0.0,2.6,82.9,14.5,7.2,86.8,6.0,distrito,18 - BAHORUCO,1805 - DUVERGE
TOTAL,2022-2023,1.5,98.5,0.0,2.3,92.7,5.1,4.8,89.1,6.2,total,,
01 - BARAHONA,2022-2023,1.1,98.9,0.0,4.1,87.5,8.4,6.0,86.4,7.5,regional,01 - BARAHONA,
0101 - PEDERNALES,2022-2023,1.6,98.4,0.0,4.0,88.7,7.3,7.0,87.8,5.2,distrito,01 - BARAHONA,0101 - PEDERNALES
0102 - ENRIQUILLO,2022-2023,0.9,99.1,0.0,8.6,79.2,12.2,7.9,86.6,5.4,distrito,01 - BARAHONA,0102 - ENRIQUILLO
0103 - BARAHONA,2022-2023,1.1,98.9,0.0,3.6,88.5,7.9,5.7,87.3,6.9,distrito,01 - BARAHONA,0103 - BARAHONA
0104 - CABRAL,2022-2023,1.5,98.5,0.0,2.8,90.1,7.1,5.2,85.9,8.9,distrito,01 - BARAHONA,0104 - CABRAL
0105 - VICENTE NOBLE,2022-2023,0.6,99.4,0.0,2.5,88.9,8.6,5.6,81.6,12.8,distrito,01 - BARAHONA,0105 - VICENTE NOBLE
02 - SAN JUAN DE LA MAGUANA,2022-2023,1.9,98.1,0.0,3.9,88.7,7.4,7.8,82.8,9.4,regional,02 - SAN JUAN DE LA MAGUANA,
0201 - COMENDADOR,2022-2023,3.5,96.5,0.0,6.4,84.4,9.2,9.6,79.4,11.0,distrito,02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR
0202 - PEDRO SANTANA,2022-2023,0.8,99.2,0.0,8.0,81.6,10.4,7.5,86.8,5.7,distrito,02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA
0203 - LAS MATAS DE FARFAN,2022-2023,0.6,99.4,0.0,2.2,91.1,6.7,7.2,84.6,8.2,distrito,02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN
0204 - EL CERCADO,2022-2023,8.6,91.4,0.0,4.4,89.6,6.0,5.6,86.4,8.0,distrito,02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO
0205 - SAN JUAN ESTE,2022-2023,1.5,98.5,0.0,2.6,90.9,6.5,7.9,83.6,8.4,distrito,02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE
0206 - SAN JUAN OESTE,2022-2023,0.6,99.4,0.0,2.7,92.0,5.2,8.0,80.7,11.2,distrito,02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE
0207 - HONDO VALLE,2022-2023,1.4,98.6,0.0,7.3,77.3,15.4,4.5,83.3,12.2,distrito,02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE
03 - AZUA,2022-2023,1.4,98.6,0.0,2.8,89.2,8.0,6.2,87.3,6.5,regional,03 - AZUA,
0301 - AZUA,2022-2023,0.7,99.3,0.0,3.0,88.8,8.2,6.7,85.5,7.8,distrito,03 - AZUA,0301 - AZUA
0302 - PADRE DE LAS CASAS,2022-2023,2.2,97.8,0.0,2.9,87.1,10.0,7.0,88.5,4.5,distrito,03 - AZUA,0302 - PADRE DE LAS CASAS
0303 - SAN JOSE DE OCOA,2022-2023,1.3,98.7,0.0,2.0,92.3,5.7,4.2,92.5,3.3,distrito,03 - AZUA,0303 - SAN JOSE DE OCOA
0304 - BANI,2022-2023,2.1,97.9,0.0,3.1,88.6,8.3,6.9,86.5,6.7,distrito,03 - AZUA,0304 - BANI
0305 - NIZAO,2022-2023,1.8,98.2,0.0,1.5,93.6,4.8,3.2,91.3,5.5,distrito,03 - AZUA,0305 - NIZAO
04 - SAN CRISTOBAL,2022-2023,1.2,98.8,0.0,1.7,92.3,6.0,3.8,89.6,6.6,regional,04 - SAN CRISTOBAL,
0401 - CAMBITA GARABITOS,2022-2023,1.3,98.7,0.0,1.8,91.4,6.8,4.9,90.8,4.3,distrito,04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS
0402 - SAN CRISTOBAL NORTE,2022-2023,1.2,98.8,0.0,1.8,91.9,6.3,4.3,86.0,9.8,distrito,04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE
0403 - SAN CRISTOBAL SUR,2022-2023,1.1,98.9,0.0,1.2,91.8,7.0,2.8,91.2,6.0,distrito,04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR
0404 - VILLA ALTAGRACIA,2022-2023,1.0,99.0,0.0,1.5,93.7,4.8,3.9,90.6,5.5,distrito,04 - SAN CRISTOBAL,0404 - VILLA ALTAGRACIA
0405 - YAGUATE,2022-2023,0.0,100.0,0.0,1.4,89.8,8.8,3.2,91.3,5.5,distrito,04 - SAN CRISTOBAL,0405 - YAGUATE
0406 - HAINA,2022-2023,1.7,98.3,0.0,2.2,93.2,4.6,3.9,89.9,6.2,distrito,04 - SAN CRISTOBAL,0406 - HAINA
0407 - SAN GREGORIO DE NIGUA,2022-2023,0.8,99.2,0.0,1.6,92.3,6.1,4.9,89.1,6.0,distrito,04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA
05 - SAN PEDRO DE MACORIS,2022-2023,1.3,98.7,0.0,2.5,92.1,5.4,5.1,88.5,6.4,regional,05 - SAN PEDRO DE MACORIS,
0501 - SAN PEDRO DE MACORIS ESTE,2022-2023,0.5,99.5,0.0,2.4,93.2,4.4,3.4,89.1,7.5,distrito,05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE
0502 - SAN PEDRO DE MACORIS OESTE,2022-2023,1.8,98.2,0.0,2.2,94.0,3.8,4.5,90.5,5.0,distrito,05 - SAN PEDRO DE MACORIS,0502 - SAN PEDRO DE MACORIS OESTE
0503 - LA ROMANA,2022-2023,1.3,98.7,0.0,2.1,93.6,4.3,4.9,90.9,4.2,distrito,05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA
0504 - HATO MAYOR,2022-2023,1.3,98.7,0.0,2.7,91.4,5.9,6.1,86.8,7.1,distrito,05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR
0505 - SABANA DE LA MAR,2022-2023,0.5,99.5,0.0,2.7,89.5,7.8,13.9,83.5,2.6,distrito,05 - SAN PEDRO DE MACORIS,0505 - SABANA DE LA MAR
0506 - CONSUELO,2022-2023,0.8,99.2,0.0,1.7,93.7,4.6,3.7,84.0,12.3,distrito,05 - SAN PEDRO DE MACORIS,0506 - CONSUELO
0507 - SAN JOSE DE LOS LLANOS,2022-2023,2.5,97.5,0.0,3.9,83.7,12.4,7.8,84.2,8.0,distrito,05 - SAN PEDRO DE MACORIS,0507 - SAN JOSE DE LOS LLANOS
0508 - QUISQUEYA,2022-2023,1.3,98.7,0.0,2.6,87.9,9.5,11.7,77.0,11.3,distrito,05 - SAN PEDRO DE MACORIS,0508 - QUISQUEYA
0509 - EL VALLE,2022-2023,2.6,97.4,0.0,2.7,90.5,6.8,6.8,85.2,7.9,distrito,05 - SAN PEDRO DE MACORIS,0509 - EL VALLE
0510 - GUAYMATE,2022-2023,0.2,99.8,0.0,5.1,87.2,7.7,6.3,86.6,7.2,distrito,05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE
0511 - VILLA HERMOSA,2022-2023,2.0,98.0,0.0,3.0,91.2,5.8,3.9,89.7,6.4,distrito,05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA
06 - LA VEGA,2022-2023,0.7,99.3,0.0,1.5,93.4,5.1,4.3,88.9,6.8,regional,06 - LA VEGA,
0601 - JOSE CONTRERAS,2022-2023,0.0,100.0,0.0,1.5,97.0,1.5,4.9,91.1,4.1,distrito,06 - LA VEGA,0601 - JOSE CONTRERAS
0602 - CONSTANZA,2022-2023,0.5,99.5,0.0,1.4,93.8,4.8,4.4,88.5,7.0,distrito,06 - LA VEGA,0602 - CONSTANZA
0603 - JARABACOA,2022-2023,0.6,99.4,0.0,1.9,92.3,5.8,3.9,91.1,5.0,distrito,06 - LA VEGA,0603 - JARABACOA
0604 - LA VEGA OESTE,2022-2023,0.4,99.6,0.0,1.6,92.4,6.0,3.9,88.4,7.6,distrito,06 - LA VEGA,0604 - LA VEGA OESTE
0605 - LA VEGA ESTE,2022-2023,1.0,99.0,0.0,1.7,93.6,4.8,4.5,89.4,6.1,distrito,06 - LA VEGA,0605 - LA VEGA ESTE
0606 - MOCA,2022-2023,0.9,99.1,0.0,1.1,93.9,5.0,4.1,88.6,7.3,distrito,06 - LA VEGA,0606 - MOCA
0607 - GASPAR HERNANDEZ,2022-2023,0.7,99.3,0.0,1.3,95.3,3.3,5.2,89.2,5.6,distrito,06 - LA VEGA,0607 - GASPAR HERNANDEZ
0608 - JAMAO AL NORTE,2022-2023,1.2,98.8,0.0,2.1,93.8,4.1,7.5,90.5,2.0,distrito,06 - LA VEGA,0608 - JAMAO AL NORTE
0609 - SAN VICTOR,2022-2023,0.0,100.0,0.0,1.3,92.7,6.0,3.9,84.4,11.7,distrito,06 - LA VEGA,0609 - SAN VICTOR
0610 - JIMA ABAJO,2022-2023,0.4,99.6,0.0,1.3,91.8,6.9,4.2,87.0,8.8,distrito,06 - LA VEGA,0610 - JIMA ABAJO
07 - SAN FRANCISCO DE MACORIS,2022-2023,1.3,98.7,0.0,1.7,93.1,5.2,5.8,85.9,8.3,regional,07 - SAN FRANCISCO DE MACORIS,
0701 - TENARES,2022-2023,1.7,98.3,0.0,1.4,94.9,3.7,3.7,89.8,6.5,distrito,07 - SAN FRANCISCO DE MACORIS,0701 - TENARES
0702 - SALCEDO,2022-2023,0.5,99.5,0.0,1.3,95.6,3.0,4.0,84.7,11.3,distrito,07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO
0703 - CASTILLO,2022-2023,0.7,99.3,0.0,2.2,90.3,7.5,4.7,87.8,7.5,distrito,07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO
0704 - VILLA RIVA,2022-2023,0.6,99.4,0.0,2.0,89.6,8.4,5.8,83.1,11.1,distrito,07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA
0705 - SAN FRANCISCO DE MACORIS SUR-E,2022-2023,2.3,97.7,0.0,1.5,92.9,5.5,7.8,83.1,9.0,distrito,07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E
0706 - SAN FRANCISCO DE MACORIS NOR-O,2022-2023,1.2,98.8,0.0,2.0,94.6,3.4,5.8,88.6,5.5,distrito,07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O
0707 - VILLA TAPIA,2022-2023,0.2,99.8,0.0,0.5,92.8,6.7,4.1,86.2,9.7,distrito,07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA
08 - SANTIAGO,2022-2023,1.4,98.6,0.0,1.7,93.4,4.9,4.5,88.6,6.9,regional,08 - SANTIAGO,
0801 - SAN JOSE DE LAS MATAS,2022-2023,1.3,98.7,0.0,1.3,91.3,7.4,4.2,89.4,6.4,distrito,08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS
0802 - JANICO,2022-2023,1.5,98.5,0.0,2.1,86.4,11.6,7.0,89.5,3.4,distrito,08 - SANTIAGO,0802 - JANICO
0803 - SANTIAGO SUR-ESTE,2022-2023,1.3,98.7,0.0,2.1,93.0,5.0,4.1,89.8,6.1,distrito,08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE
0804 - SANTIAGO NOROESTE,2022-2023,1.5,98.5,0.0,1.7,93.5,4.7,4.4,87.1,8.5,distrito,08 - SANTIAGO,0804 - SANTIAGO NOROESTE
0805 - SANTIAGO CENTRO-OESTE,2022-2023,1.1,98.9,0.0,1.4,93.9,4.7,4.5,88.9,6.7,distrito,08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE
0806 - SANTIAGO NORESTE,2022-2023,1.4,98.6,0.0,0.8,96.1,3.1,4.1,88.9,7.0,distrito,08 - SANTIAGO,0806 - SANTIAGO NORESTE
0807 - VILLA BISONO (NAVARRETE),2022-2023,1.5,98.5,0.0,2.3,93.5,4.2,6.5,89.5,4.0,distrito,08 - SANTIAGO,0807 - VILLA BISONO (NAVARRETE)
0808 - LICEY AL MEDIO,2022-2023,1.6,98.4,0.0,1.4,93.2,5.4,4.1,87.0,8.9,distrito,08 - SANTIAGO,0808 - LICEY AL MEDIO
0809 - TAMBORIL,2022-2023,3.2,96.8,0.0,1.4,94.1,4.5,4.0,90.8,5.3,distrito,08 - SANTIAGO,0809 - TAMBORIL
0810 - VILLA GONZALEZ,2022-2023,1.6,98.4,0.0,1.7,91.4,6.9,6.5,85.3,8.2,distrito,08 - SANTIAGO,0810 - VILLA GONZALEZ
09 - MAO,2022-2023,2.1,97.9,0.0,3.2,90.5,6.4,5.2,88.2,6.6,regional,09 - MAO,
0901 - MAO,2022-2023,3.5,96.5,0.0,4.0,89.4,6.6,4.2,89.7,6.1,distrito,09 - MAO,0901 - MAO
0902 - ESPERANZA,2022-2023,1.5,98.5,0.0,2.6,90.2,7.3,7.2,85.7,7.1,distrito,09 - MAO,0902 - ESPERANZA
0903 - SAN IGNACIO DE SABANETA,2022-2023,1.8,98.2,0.0,2.2,93.7,4.1,3.5,91.6,4.9,distrito,09 - MAO,0903 - SAN IGNACIO DE SABANETA
0904 - MONCION,2022-2023,1.1,98.9,0.0,3.4,91.9,4.7,6.7,82.5,10.8,distrito,09 - MAO,0904 - MONCION
0905 - LAGUNA SALADA,2022-2023,0.7,99.3,0.0,3.7,90.4,6.0,5.7,87.4,6.9,distrito,09 - MAO,0905 - LAGUNA SALADA
0906 - VILLA LOS ALMACIGOS,2022-2023,0.4,99.6,0.0,2.3,88.9,8.8,5.0,88.5,6.5,distrito,09 - MAO,0906 - VILLA LOS ALMACIGOS
10 - SANTO DOMINGO,2022-2023,1.4,98.6,0.0,2.2,94.4,3.4,3.9,90.9,5.1,regional,10 - SANTO DOMINGO,
1001 - VILLA MELLA,2022-2023,1.1,98.9,0.0,2.2,94.1,3.8,3.8,88.8,7.4,distrito,10 - SANTO DOMINGO,1001 - VILLA MELLA
1002 - SABANA PERDIDA,2022-2023,1.5,98.5,0.0,1.6,94.8,3.6,3.4,91.6,4.9,distrito,10 - SANTO DOMINGO,1002 - SABANA PERDIDA
1003 - SANTO DOMINGO NORESTE,2022-2023,1.8,98.2,0.0,2.3,93.7,3.9,5.4,88.9,5.7,distrito,10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE
1004 - SANTO DOMINGO ORIENTAL,2022-2023,1.1,98.9,0.0,1.6,95.8,2.6,2.9,94.6,2.5,distrito,10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL
1005 - BOCA CHICA,2022-2023,1.5,98.5,0.0,3.7,91.7,4.7,4.8,88.5,6.7,distrito,10 - SANTO DOMINGO,1005 - BOCA CHICA
1006 - MENDOZA,2022-2023,1.7,98.3,0.0,1.9,95.9,2.2,3.6,92.4,4.0,distrito,10 - SANTO DOMINGO,1006 - MENDOZA
1007 - SAN ANTONIO DE GUERRA,2022-2023,1.7,98.3,0.0,1.8,93.6,4.6,3.2,93.7,3.1,distrito,10 - SANTO DOMINGO,1007 - SAN ANTONIO DE GUERRA
11 - PUERTO PLATA,2022-2023,2.0,98.0,0.0,1.8,93.6,4.6,5.0,89.0,6.0,regional,11 - PUERTO PLATA,
1101 - SOSUA,2022-2023,1.5,98.5,0.0,2.6,92.0,5.3,4.3,89.9,5.9,distrito,11 - PUERTO PLATA,1101 - SOSUA
1102 - PUERTO PLATA,2022-2023,3.0,97.0,0.0,1.5,95.0,3.5,5.3,88.5,6.2,distrito,11 - PUERTO PLATA,1102 - PUERTO PLATA
1103 - IMBERT,2022-2023,1.0,99.0,0.0,1.6,91.2,7.3,5.5,89.8,4.6,distrito,11 - PUERTO PLATA,1103 - IMBERT
1104 - LUPERON,2022-2023,0.6,99.4,0.0,1.7,92.5,5.8,5.1,84.4,10.4,distrito,11 - PUERTO PLATA,1104 - LUPERON
1105 - ALTAMIRA,2022-2023,0.8,99.2,0.0,1.4,94.1,4.5,2.2,94.3,3.5,distrito,11 - PUERTO PLATA,1105 - ALTAMIRA
1106 - EL MAMEY,2022-2023,0.0,100.0,0.0,1.2,93.2,5.6,3.6,89.9,6.6,distrito,11 - PUERTO PLATA,1106 - EL MAMEY
1107 - VILLA ISABELA,2022-2023,0.0,100.0,0.0,1.2,94.0,4.8,8.9,86.2,4.9,distrito,11 - PUERTO PLATA,1107 - VILLA ISABELA
12 - HIGUEY,2022-2023,2.2,97.8,0.0,3.1,90.4,6.5,5.9,85.0,9.1,regional,12 - HIGUEY,
1201 - HIGUEY,2022-2023,2.4,97.6,0.0,2.9,92.0,5.0,5.7,85.0,9.3,distrito,12 - HIGUEY,1201 - HIGUEY
1202 - SAN RAFAEL DEL YUMA,2022-2023,1.3,98.7,0.0,4.6,86.6,8.8,7.1,88.0,4.9,distrito,12 - HIGUEY,1202 - SAN RAFAEL DEL YUMA
1203 - EL SEIBO,2022-2023,1.4,98.6,0.0,3.0,84.1,12.9,5.7,84.2,10.2,distrito,12 - HIGUEY,1203 - EL SEIBO
1204 - MICHES,2022-2023,1.8,98.2,0.0,3.1,88.3,8.5,6.8,83.7,9.5,distrito,12 - HIGUEY,1204 - MICHES
13 - MONTE CRISTI,2022-2023,1.8,98.2,0.0,2.8,92.6,4.6,6.0,88.7,5.3,regional,13 - MONTE CRISTI,
1301 - MONTE CRISTI,2022-2023,2.9,97.1,0.0,3.0,92.4,4.6,5.8,86.6,7.6,distrito,13 - MONTE CRISTI,1301 - MONTE CRISTI
1302 - GUAYUBIN,2022-2023,1.7,98.3,0.0,3.2,95.3,1.5,6.5,89.9,3.6,distrito,13 - MONTE CRISTI,1302 - GUAYUBIN
1303 - VILLA VASQUEZ,2022-2023,1.0,99.0,0.0,1.9,95.6,2.6,6.6,88.7,4.7,distrito,13 - MONTE CRISTI,1303 - VILLA VASQUEZ
1304 - DAJABON,2022-2023,0.8,99.2,0.0,1.7,89.3,9.0,4.7,88.3,7.0,distrito,13 - MONTE CRISTI,1304 - DAJABON
1305 - LOMA DE CABRERA,2022-2023,3.8,96.2,0.0,3.2,91.7,5.1,6.4,89.4,4.2,distrito,13 - MONTE CRISTI,1305 - LOMA DE CABRERA
1306 - RESTAURACION,2022-2023,0.0,100.0,0.0,5.2,89.7,5.1,7.3,91.1,1.5,distrito,13 - MONTE CRISTI,1306 - RESTAURACION
14 - NAGUA,2022-2023,0.9,99.1,0.0,1.9,94.4,3.7,7.1,86.3,6.7,regional,14 - NAGUA,
1401 - NAGUA,2022-2023,0.8,99.2,0.0,1.9,93.5,4.5,7.1,85.7,7.2,distrito,14 - NAGUA,1401 - NAGUA
1402 - CABRERA,2022-2023,1.0,99.0,0.0,2.1,95.1,2.8,4.9,90.6,4.5,distrito,14 - NAGUA,1402 - CABRERA
1403 - RIO SAN JUAN,2022-2023,0.2,99.8,0.0,1.7,94.6,3.7,9.1,79.3,11.6,distrito,14 - NAGUA,1403 - RIO SAN JUAN
1404 - SAMANA,2022-2023,0.2,99.8,0.0,1.6,94.0,4.4,7.4,87.4,5.2,distrito,14 - NAGUA,1404 - SAMANA
1405 - SANCHEZ,2022-2023,0.2,99.8,0.0,0.8,96.8,2.4,6.2,88.0,5.8,distrito,14 - NAGUA,1405 - SANCHEZ
1406 - EL FACTOR,2022-2023,2.4,97.6,0.0,2.5,92.9,4.6,8.0,79.7,12.3,distrito,14 - NAGUA,1406 - EL FACTOR
1407 - LAS TERRENAS,2022-2023,1.9,98.1,0.0,2.8,95.7,1.5,6.7,89.8,3.4,distrito,14 - NAGUA,1407 - LAS TERRENAS
15 - SANTO DOMINGO,2022-2023,2.0,98.0,0.0,2.1,94.4,3.5,4.1,91.4,4.5,regional,15 - SANTO DOMINGO,
1501 - LOS ALCARRIZOS,2022-2023,2.6,97.4,0.0,2.4,93.8,3.8,4.5,90.2,5.3,distrito,15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS
1502 - SANTO DOMINGO CENTRO,2022-2023,2.8,97.2,0.0,2.7,92.6,4.7,5.3,88.6,6.1,distrito,15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO
1503 - SANTO DOMINGO SURCENTRAL,2022-2023,0.7,99.3,0.0,1.1,97.6,1.2,2.3,95.6,2.1,distrito,15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL
1504 - SANTO DOMINGO NOROESTE,2022-2023,1.8,98.2,0.0,2.2,94.3,3.5,4.1,91.6,4.2,distrito,15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE
1505 - HERRERA,2022-2023,2.4,97.6,0.0,2.0,94.1,3.9,4.4,90.3,5.2,distrito,15 - SANTO DOMINGO,1505 - HERRERA
1506 - PEDRO BRAND,2022-2023,1.0,99.0,0.0,2.1,93.0,4.9,4.6,89.9,5.5,distrito,15 - SANTO DOMINGO,1506 - PEDRO BRAND
16 - COTUI,2022-2023,1.0,99.0,0.0,1.3,93.2,5.5,3.4,91.3,5.3,regional,16 - COTUI,
1601 - COTUI,2022-2023,0.6,99.4,0.0,1.0,93.2,5.7,2.9,94.1,3.0,distrito,16 - COTUI,1601 - COTUI
1602 - FANTINO,2022-2023,0.8,99.2,0.0,1.2,94.2,4.6,3.5,90.4,6.1,distrito,16 - COTUI,1602 - FANTINO
1603 - CEVICOS,2022-2023,0.2,99.8,0.0,0.6,93.2,6.2,5.0,91.2,3.8,distrito,16 - COTUI,1603 - CEVICOS
1604 - BONAO SUROESTE,2022-2023,1.1,98.9,0.0,1.5,96.0,2.5,3.4,91.5,5.2,distrito,16 - COTUI,1604 - BONAO SUROESTE
1605 - PIEDRA BLANCA,2022-2023,0.9,99.1,0.0,1.5,91.6,6.9,3.5,89.9,6.5,distrito,16 - COTUI,1605 - PIEDRA BLANCA
1606 - BONAO NORDESTE,2022-2023,1.7,98.3,0.0,1.4,91.4,7.2,2.9,91.5,5.7,distrito,16 - COTUI,1606 - BONAO NORDESTE
1607 - VILLA LA MATA,2022-2023,0.9,99.1,0.0,1.5,92.2,6.3,4.3,87.6,8.1,distrito,16 - COTUI,1607 - VILLA LA MATA
17 - MONTE PLATA,2022-2023,1.8,98.2,0.0,1.8,92.1,6.0,4.4,90.1,5.5,regional,17 - MONTE PLATA,
1701 - YAMASA,2022-2023,2.3,97.7,0.0,1.5,92.9,5.6,4.0,89.0,7.1,distrito,17 - MONTE PLATA,1701 - YAMASA
1702 - MONTE PLATA,2022-2023,1.2,98.8,0.0,0.9,94.5,4.6,3.4,93.9,2.7,distrito,17 - MONTE PLATA,1702 - MONTE PLATA
1703 - BAYAGUANA,2022-2023,1.5,98.5,0.0,3.4,91.2,5.4,5.5,87.5,7.0,distrito,17 - MONTE PLATA,1703 - BAYAGUANA
1704 - SABANA GRANDE DE BOYA,2022-2023,1.9,98.1,0.0,2.4,89.6,8.0,5.4,88.4,6.2,distrito,17 - MONTE PLATA,1704 - SABANA GRANDE DE BOYA
1705 - ESPERALVILLO,2022-2023,2.4,97.6,0.0,1.8,89.6,8.6,5.4,89.7,4.9,distrito,17 - MONTE PLATA,1705 - ESPERALVILLO
18 - BAHORUCO,2022-2023,1.6,98.4,0.0,4.1,86.5,9.4,5.8,86.3,7.9,regional,18 - BAHORUCO,
1801 - NEYBA,2022-2023,1.5,98.5,0.0,3.6,88.5,7.9,6.5,84.6,8.9,distrito,18 - BAHORUCO,1801 - NEYBA
1802 - TAMAYO,2022-2023,0.5,99.5,0.0,4.7,83.7,11.6,7.8,82.0,10.2,distrito,18 - BAHORUCO,1802 - TAMAYO
1803 - VILLA JARAGUA,2022-2023,0.4,99.6,0.0,4.9,86.9,8.2,1.9,88.4,9.7,distrito,18 - BAHORUCO,1803 - VILLA JARAGUA
